"","group","type","units","Last 10-year average","year","amount"
"143","Foods","Fish and shellfish ","Percent","4.0714855190000003","2006","10.74390635"
"144","Foods","Fish and shellfish ","Percent","4.0714855190000003","2005","6.6079612470000004"
"145","Foods","Fish and shellfish ","Percent","4.0714855190000003","2004","2.2688975039999999"
"146","Foods","Fish and shellfish ","Percent","4.0714855190000003","2003","8.9990264270000004"
"147","Foods","Fish and shellfish ","Percent","4.0714855190000003","2002","3.1045295089999998"
"148","Foods","Fish and shellfish ","Percent","4.0714855190000003","2001","-2.1913399060000001"
"149","Foods","Fish and shellfish ","Percent","4.0714855190000003","2000","11.512675229999999"
"150","Foods","Fish and shellfish ","Percent","4.0714855190000003","1999",NA
"151","Foods","Fruits","Percent","7.4154296259999999","2023","2.003128851"
"152","Foods","Fruits","Percent","7.4154296259999999","2022","14.34827735"
"153","Foods","Fruits","Percent","7.4154296259999999","2021","15.50021929"
"154","Foods","Fruits","Percent","7.4154296259999999","2020","0.81701032200000001"
"155","Foods","Fruits","Percent","7.4154296259999999","2019","3.7266732569999999"
"156","Foods","Fruits","Percent","7.4154296259999999","2018","6.553362474"
"157","Foods","Fruits","Percent","7.4154296259999999","2017","7.1256144020000001"
"158","Foods","Fruits","Percent","7.4154296259999999","2016","7.4576207620000003"
"159","Foods","Fruits","Percent","7.4154296259999999","2015","7.8437188229999997"
"160","Foods","Fruits","Percent","7.4154296259999999","2014","8.7786707340000003"
"161","Foods","Fruits","Percent","7.4154296259999999","2013","8.4846074300000005"
"162","Foods","Fruits","Percent","7.4154296259999999","2012","4.7033640669999999"
"163","Foods","Fruits","Percent","7.4154296259999999","2011","12.365933549999999"
"164","Foods","Fruits","Percent","7.4154296259999999","2010","10.513523299999999"
"165","Foods","Fruits","Percent","7.4154296259999999","2009","-2.5284042219999998"
"166","Foods","Fruits","Percent","7.4154296259999999","2008","7.1487982719999996"
"167","Foods","Fruits","Percent","7.4154296259999999","2007","19.638403180000001"
"168","Foods","Fruits","Percent","7.4154296259999999","2006","11.5726789"
"169","Foods","Fruits","Percent","7.4154296259999999","2005","16.284099860000001"
"170","Foods","Fruits","Percent","7.4154296259999999","2004","7.2313418079999998"
"171","Foods","Fruits","Percent","7.4154296259999999","2003","9.6027273090000005"
"172","Foods","Fruits","Percent","7.4154296259999999","2002","8.4849391799999996"
"173","Foods","Fruits","Percent","7.4154296259999999","2001","0.65197744999999996"
"174","Foods","Fruits","Percent","7.4154296259999999","2000","-3.0519223150000001"
"175","Foods","Fruits","Percent","7.4154296259999999","1999",NA
"176","Foods","Grains","Percent","7.3096752819999997","2023","7.307542432"
"177","Foods","Grains","Percent","7.3096752819999997","2022","28.99280224"
"178","Foods","Grains","Percent","7.3096752819999997","2021","9.2543438130000002"
"179","Foods","Grains","Percent","7.3096752819999997","2020","6.6266530030000004"
"180","Foods","Grains","Percent","7.3096752819999997","2019","3.7480171449999999"
"181","Foods","Grains","Percent","7.3096752819999997","2018","11.33385313"
"182","Foods","Grains","Percent","7.3096752819999997","2017","6.6792936879999996"
"183","Foods","Grains","Percent","7.3096752819999997","2016","1.4497763319999999"
"184","Foods","Grains","Percent","7.3096752819999997","2015","0.123169006"
"185","Foods","Grains","Percent","7.3096752819999997","2014","-2.4186979759999998"
"186","Foods","Grains","Percent","7.3096752819999997","2013","12.851842299999999"
"187","Foods","Grains","Percent","7.3096752819999997","2012","12.606346719999999"
"188","Foods","Grains","Percent","7.3096752819999997","2011","12.92102"
"189","Foods","Grains","Percent","7.3096752819999997","2010","3.9671013629999998"
"190","Foods","Grains","Percent","7.3096752819999997","2009","-11.36563645"
"191","Foods","Grains","Percent","7.3096752819999997","2008","29.975245409999999"
"192","Foods","Grains","Percent","7.3096752819999997","2007","20.512292970000001"
"193","Foods","Grains","Percent","7.3096752819999997","2006","15.847554580000001"
"194","Foods","Grains","Percent","7.3096752819999997","2005","5.863948325"
"195","Foods","Grains","Percent","7.3096752819999997","2004","11.210259000000001"
"196","Foods","Grains","Percent","7.3096752819999997","2003","7.7818775709999999"
"197","Foods","Grains","Percent","7.3096752819999997","2002","11.5369046"
"198","Foods","Grains","Percent","7.3096752819999997","2001","9.2906650939999995"
"199","Foods","Grains","Percent","7.3096752819999997","2000","2.9373814039999999"
"200","Foods","Grains","Percent","7.3096752819999997","1999",NA
"201","Foods","Live meat animals","Percent","4.6300718310000004","2023","21.939650019999998"
"202","Foods","Live meat animals","Percent","4.6300718310000004","2022","9.1640920759999993"
"203","Foods","Live meat animals","Percent","4.6300718310000004","2021","6.5118650349999996"
"204","Foods","Live meat animals","Percent","4.6300718310000004","2020","-4.230103422"
"205","Foods","Live meat animals","Percent","4.6300718310000004","2019","11.045938489999999"
"206","Foods","Live meat animals","Percent","4.6300718310000004","2018","0.63991269399999995"
